,airport_code,city_name,avg_daily_flights,percent_delayed,num_unique_airlines,unique_airlines,mean_dep_delay,std_dep_delay
327,TRI,"Bristol/Johnson City/Kingsport, TN",4.977653631284916,25.70145903479237,5,"['9E', 'DL', 'G4', 'OH', 'MQ']",7.716049382716049,73.99332767135631
197,LRD,"Laredo, TX",4.938888888888889,23.284589426321705,3,"['G4', 'MQ', 'OO']",12.133858267716535,76.49601849488623
219,MLU,"Monroe, LA",4.855555555555555,25.05720823798627,3,"['MQ', '9E', 'OO']",9.685354691075515,85.9967930922634
1,ABI,"Abilene, TX",4.773480662983426,20.37037037037037,1,['MQ'],1.6539351851851851,57.038759428973
48,BRO,"Brownsville, TX",4.738888888888889,23.563892145369287,2,"['MQ', 'OO']",14.928487690504102,72.94324307962422
11,AEX,"Alexandria, LA",4.715083798882682,27.48815165876777,3,"['MQ', '9E', 'OO']",19.718009478672986,94.73661363139344
76,COU,"Columbia, MO",4.623595505617978,34.38639125151883,2,"['MQ', 'OO']",21.539489671931957,90.57605900806614
269,RDD,"Redding, CA",4.524861878453039,21.855921855921856,1,['OO'],6.444444444444445,73.276582100827
5,ACK,"Nantucket, MA",4.428571428571429,14.11290322580645,2,"['YX', 'B6']",2.528225806451613,54.12819550157291
24,AVP,"Scranton/Wilkes-Barre, PA",4.2430939226519335,25.0,4,"['OH', 'MQ', 'OO', 'AA']",6.453125,87.56452872970772
147,HLN,"Helena, MT",4.220994475138122,19.50261780104712,1,['OO'],8.010471204188482,73.95802993354987
116,FAY,"Fayetteville, NC",4.179640718562874,26.50429799426934,4,"['9E', 'OO', 'OH', 'DL']",10.085959885386819,94.56983211093534
40,BMI,"Bloomington/Normal, IL",3.9005524861878453,21.388101983002834,3,"['G4', 'MQ', '9E']",1.8626062322946175,68.90609987310805
145,HHH,"Hilton Head, SC",3.5819209039548023,28.07570977917981,2,"['YX', 'MQ']",6.126182965299685,66.12028754878196
72,CMI,"Champaign/Urbana, IL",3.453038674033149,23.52,1,['MQ'],5.128,73.88244040365748
179,LAN,"Lansing, MI",3.403314917127072,30.35714285714285,3,"['9E', 'OH', 'OO']",17.954545454545453,91.88369041713062
240,ORH,"Worcester, MA",3.327777777777778,25.542570951585976,3,"['YX', 'B6', '9E']",7.819699499165275,69.3223352640744
281,RST,"Rochester, MN",3.2933333333333334,21.45748987854251,4,"['YX', 'MQ', '9E', 'OO']",9.180161943319838,77.67507824325266
301,SIT,"Sitka, AK",3.0994475138121547,21.212121212121215,2,"['OO', 'AS']",-16.976827094474153,61.524830915658825
318,STX,"Christiansted, VI",3.0833333333333335,40.9009009009009,4,"['NK', 'DL', 'AA', 'B6']",13.68108108108108,67.17580995322997
69,CLL,"College Station/Bryan, TX",3.077777777777778,22.202166064981945,2,"['MQ', 'OO']",5.200361010830325,87.10068543429726
123,FSM,"Fort Smith, AR",3.0614525139664805,20.802919708029197,2,"['MQ', 'OO']",-1.6916058394160585,48.95976188740143
328,TTN,"Trenton, NJ",3.0445859872611467,26.359832635983263,1,['F9'],4.535564853556485,69.04164111882396
155,HYA,"Hyannis, MA",3.0,11.111111111111109,2,"['YX', 'B6']",-0.8888888888888888,43.363130780780935
128,GFK,"Grand Forks, ND",2.9719101123595504,26.27599243856333,3,"['G4', '9E', 'OO']",1.6219281663516067,75.70287294938208
6,ACT,"Waco, TX",2.9055555555555554,32.122370936902485,2,"['MQ', 'OO']",27.617590822179732,90.1938686543811
303,SJT,"San Angelo, TX",2.9,27.39463601532567,2,"['MQ', 'OO']",11.099616858237548,81.20090508373178
334,TYR,"Tyler, TX",2.8833333333333333,31.59922928709056,2,"['MQ', 'OO']",9.545279383429673,80.03214467537848
280,ROW,"Roswell, NM",2.88268156424581,33.333333333333336,1,['OO'],20.492248062015506,99.86607506806052
105,ELM,"Elmira/Corning, NY",2.8784530386740332,29.174664107485604,2,"['G4', 'OO']",9.934740882917467,93.20867594553235
141,GUC,"Gunnison, CO",2.8784530386740332,21.30518234165067,2,"['OO', 'AA']",9.220729366602686,80.93025981721783
213,MHK,"Manhattan/Ft. Riley, KS",2.877094972067039,27.572815533980588,2,"['MQ', 'OO']",5.087378640776699,64.09336374531325
188,LCH,"Lake Charles, LA",2.859550561797753,27.70137524557957,1,['OO'],35.550098231827114,126.36009639757523
182,LAW,"Lawton/Fort Sill, OK",2.8324022346368714,25.44378698224852,1,['OO'],5.2445759368836296,70.52574548246444
199,LWS,"Lewiston, ID",2.8287292817679557,16.40625,1,['OO'],9.7109375,104.05025899425256
39,BLV,"Belleville, IL",2.75,31.934731934731932,1,['G4'],23.219114219114218,114.83490183964962
272,RFD,"Rockford, IL",2.7448275862068967,40.95477386934674,1,['G4'],16.48994974874372,75.3995814051245
243,PAE,"Everett, WA",2.7222222222222223,35.91836734693877,1,['AS'],-1.5755102040816327,52.170589034135006
